title,slug,section,category,primaryKeyword,secondaryKeywords,parentArticle,parentCalculator,articleType,priorityScore,wordCount,macroContext,microContext
"Average TikTok Earnings Per 1K 10K 100K 1M Views",average-tiktok-earnings-per-views,outer,data/earnings,tiktok earnings per views,"earnings by views;tiktok pay per view",/data/earnings,/calculators/tiktok-money,data,91,2500,Average TikTok creator earnings broken down by view milestones,"per-view rates;income distribution;program comparison"
"TikTok Creator Income Distribution — What Most Creators Actually Earn",tiktok-creator-income-distribution,outer,data/earnings,tiktok creator income,"creator salary;tiktok income statistics",/data/earnings,/calculators/tiktok-money,data,89,2500,Real income distribution data showing what typical TikTok creators earn,"median vs average;income tiers;full-time vs part-time"
"TikTok vs YouTube RPM Comparison by Niche",tiktok-vs-youtube-rpm-by-niche,outer,data/earnings,tiktok vs youtube rpm,"platform rpm comparison;youtube vs tiktok pay",/data/earnings,/calculators/rpm,comparison,88,2500,Side-by-side RPM rate comparison between TikTok and YouTube by content niche,"per-niche data;long-term income;platform strengths"
"Seasonal TikTok Earnings Trends — Q1 vs Q4 Data",seasonal-tiktok-earnings-trends,outer,data/earnings,tiktok seasonal earnings,"quarterly earnings;tiktok Q4 earnings",/data/earnings,/calculators/rpm,data,85,2000,How TikTok creator earnings fluctuate throughout the year,"Q4 peak;January dip;holiday spending;advertiser budgets"
"TikTok Advertising Rates — CPM and CPC Benchmarks",tiktok-advertising-rates-benchmarks,outer,data/earnings,tiktok advertising rates,"tiktok ad costs;tiktok cpm rates",/data/earnings,/calculators/cpm-cpv,data,84,2000,TikTok advertising cost benchmarks for brands and marketers,"CPM;CPC;CTR;industry averages;format comparison"
"Full-Time vs Part-Time TikTok Creator Earnings Comparison",fulltime-vs-parttime-creator-earnings,outer,data/earnings,full time tiktok creator salary,"creator income comparison;tiktok full time",/data/earnings,/calculators/tiktok-money,comparison,83,2000,Income comparison between full-time and part-time TikTok creators,"hours worked;income breakdown;sustainability;transition tips"
"Average TikTok Engagement Rate by Follower Count 2026",avg-engagement-rate-follower-count-2026,outer,data/engagement,average tiktok engagement rate,"engagement benchmarks;tiktok engagement data",/data/engagement,/calculators/engagement-rate,data,90,2500,Updated 2026 engagement rate benchmarks by follower tier,"nano;micro;mid;macro;mega;trends"
"TikTok Video Completion Rate by Video Length",completion-rate-by-video-length,outer,data/engagement,tiktok completion rate,"video completion data;watch through rate tiktok",/data/engagement,/calculators/completion-rate,data,86,2000,How TikTok video completion rates vary by content duration,"15s;30s;60s;3min;10min;optimal length"
"TikTok Save Rate Benchmarks — What Indicates Quality Content",tiktok-save-rate-benchmarks,outer,data/engagement,tiktok save rate,"save rate data;bookmark rate tiktok",/data/engagement,/calculators/save-rate,data,84,2000,TikTok save rate benchmarks and what they signal about content quality,"by niche;by follower count;algorithm weight"
"TikTok vs Instagram Reels — Complete 2026 Creator Comparison",tiktok-vs-instagram-reels-2026,outer,data/platform-comparisons,tiktok vs instagram reels,"reels vs tiktok;instagram comparison creator",/data/platform-comparisons,,comparison,89,2500,Comprehensive comparison of TikTok and Instagram Reels for creators,"reach;earnings;algorithm;audience;growth"
"TikTok vs YouTube Shorts — Complete 2026 Comparison",tiktok-vs-youtube-shorts-2026,outer,data/platform-comparisons,tiktok vs youtube shorts,"shorts vs tiktok;youtube shorts comparison",/data/platform-comparisons,,comparison,88,2500,Side-by-side comparison of TikTok and YouTube Shorts for creators,"monetization;reach;audience;content strategy"
"Creator Monetization Across Platforms — Where to Focus in 2026",creator-monetization-platforms-2026,outer,data/platform-comparisons,best platform for creators 2026,"creator platform comparison;best platform monetization",/data/platform-comparisons,/calculators/multi-platform-earnings,comparison,87,3000,Data-driven analysis of which platforms pay creators most in 2026,"tiktok;youtube;instagram;twitch;revenue comparison"
