title,slug,section,category,primaryKeyword,secondaryKeywords,parentArticle,parentCalculator,articleType,priorityScore,wordCount,macroContext,microContext
"How Much Do TikTok Live Streamers Make Per Hour",tiktok-live-earnings-per-hour,core,calculators/live-earnings,how much do tiktok live streamers make,"tiktok live income;tiktok live money per hour",/calculators/earnings-revenue/live-earnings,/calculators/earnings-revenue/live-earnings,informative,94,2500,TikTok live streaming hourly earning potential,"gift values;viewer count;live ranking;top earners"
"Best Times to Go Live on TikTok by Timezone",best-times-go-live-tiktok,core,calculators/live-earnings,best time to go live on tiktok,"tiktok live schedule;when to go live tiktok",/calculators/earnings-revenue/live-earnings,/calculators/earnings-revenue/live-earnings,informative,91,2000,Optimal TikTok live streaming times by timezone and audience,"peak hours;audience geography;live ranking boost"
"How Much to Charge for a TikTok Sponsorship by Followers",tiktok-sponsorship-rates-followers,core,calculators/brand-deal-rate,how much to charge tiktok sponsorship,"tiktok brand deal rates;influencer pricing tiktok",/calculators/brand-deal-rate,/calculators/brand-deal-rate,informative,95,2500,TikTok sponsorship pricing guide by follower tier,"rate card;niche premiums;engagement multiplier;usage rights"
"TikTok Brand Deal Rates 2026 — Complete Rate Card",tiktok-brand-deal-rates-2026,core,calculators/brand-deal-rate,tiktok brand deal rates 2026,"influencer rate card;tiktok sponsorship pricing",/calculators/brand-deal-rate,/calculators/brand-deal-rate,data,94,3000,Comprehensive TikTok brand deal pricing benchmarks for 2026,"follower tiers;niche rates;deliverable types;exclusivity"
"How Much Can You Earn from TikTok Shop Affiliate",tiktok-shop-affiliate-earnings,core,calculators/shop-profit,tiktok shop affiliate earnings,"tiktok shop commission;tiktok affiliate income",/calculators/commerce-ads/shop-profit,/calculators/commerce-ads/shop-profit,informative,93,2500,TikTok Shop affiliate earning potential and commission structure,"commission rates;product categories;conversion tips"
"TikTok Shop Commission Rates by Category 2026",tiktok-shop-commission-rates,core,calculators/shop-profit,tiktok shop commission rates,"tiktok shop fees;tiktok shop seller costs",/calculators/commerce-ads/shop-profit,/calculators/commerce-ads/shop-profit,data,92,2000,TikTok Shop commission and fee structure by product category,"category rates;seller fees;payment processing"
"What Is TikTok RPM and How Is It Calculated",what-is-tiktok-rpm,core,calculators/rpm,what is tiktok rpm,"tiktok RPM meaning;tiktok revenue per mille",/calculators/rpm,/calculators/rpm,informative,93,2000,TikTok RPM definition calculation and significance,"CPM vs RPM;calculation formula;factors affecting RPM"
"TikTok RPM Rates by Country 2026",tiktok-rpm-by-country,core,calculators/rpm,tiktok rpm rates by country,"tiktok RPM country comparison;best countries tiktok earnings",/calculators/rpm,/calculators/rpm,data,92,2500,TikTok RPM rates across different countries and regions,"US vs UK vs India;tier 1 vs tier 2;advertiser demand"
"How to Make Money on TikTok — Complete 2026 Guide",how-to-make-money-tiktok,core,guides/monetization,how to make money on tiktok,"tiktok monetization;earn money tiktok;tiktok income",/guides/monetization,/calculators/tiktok-money,informative,99,4000,Complete guide to all TikTok monetization methods,"creator fund;brand deals;live gifts;tiktok shop;affiliate;ads"
"TikTok Algorithm Explained — How It Decides What Goes Viral",tiktok-algorithm-explained,core,guides/growth,tiktok algorithm explained,"how tiktok algorithm works;tiktok for you page algorithm",/guides/growth,,informative,97,3500,TikTok recommendation algorithm mechanics and ranking factors,"for you page;engagement signals;content classification;distribution"
